Competency domain,Focus Areas,Resource title,URL,Platform / host,Resource type,Stated learning outcomes,Stated prerequisites,Length (mins),Indicated level,Intended audience,Format type (passive / interactive),Publication date,Last updated,Captions / transcripts,Mobile accessible,Skill area,Student journey stage,Comments,Faculty comments,Faculty initials
,Math Foundations,Foundational Math for Machine Learning,https://www.linkedin.com/learning/paths/foundational-math-for-machine-learning?u=42257553,LinkedIn Learning,Online Course,"
    - Master linear algebra fundamentals.
    - Grasp calculus concepts for machine learning.
    - Harness the power of probability in machine learning.
    - Unlock insights with statistical analysis.",N/A,5h 48m 16s,Intermediate,N/A,passive,N/A,June 2025,Yes,Yes,"Demonstrate proficiency in mathematics, including calculus, linear algebra, probability and statistics, and discrete mathematics.",Pre-arrival,,,
,,Foundational Math for Generative AI: Understanding LLMs and Transformers through Practical Applications,https://www.linkedin.com/learning/foundational-math-for-generative-ai-understanding-llms-and-transformers-through-practical-applications/intro-to-foundational-math-for-generative-ai?u=42257553,LinkedIn Learning,Online Course,"
    - Gain an intuitive understanding of how and why LLMs and transformers work.
    - Learn how attention mechanisms evolved to solve key problems in RNN-based models.
    - Develop a sentiment analysis model using TensorFlow, Keras, and Hugging Face’s DistilBERT.
    - Enhance models progressively with mathematical insights applied in code, from word embeddings to attention and transformer layers.
    - Use visualizations to grasp how attention and optimization work.
",N/A,3h 23m,Intermediate,N/A,Interactive,"Feb 3, 2025",N/A,Yes,Yes,"Demonstrate proficiency in mathematics, including calculus, linear algebra, probability and statistics, and discrete mathematics.",Ongoing study,,,
,,Machine Learning Foundations: Calculus,https://www.linkedin.com/learning/machine-learning-foundations-calculus/what-you-should-know?autoSkip=true&resume=false&u=42257553,LinkedIn Learning,Online Course,N/A,"While this course presents basic information about coding, you should already be familiar with both computers in general and some programming specifically. Basic Python programming knowledge will definitely help, though it's not strictly necessary. This course is focused on linear algebra capabilities and its applications in Python code. The focus will be on the latest versions of Python 3. Please make sure you have it installed on your machine. 

You will also want to make sure that you have Anaconda installed. We're going to be working with Jupyter Notebooks.",1h 31m,Beginner,If you struggle with calculus concepts and techniques used to design and implement ML algorithms,passive,N/A,May 2025,Yes,Yes,"Demonstrate proficiency in mathematics, including calculus, linear algebra, probability and statistics, and discrete mathematics.",Pre-arrival,,,
,,Probability Foundations for Data Science,https://www.linkedin.com/learning/probability-foundations-for-data-science/introduction-to-probability?u=42257553,LinkedIn Learning,Online Course,N/A,"First, it is important to have a basic knowledge of arithmetic and algebra in order to perform the calculations in this course. Next, it will be helpful if you have a basic understanding of some calculus concepts such as derivatives and integrals. Lastly, it will be helpful if you have a good understanding of basic probability concepts since this course will focus more on advanced topics. A basic probability refresher will be provided in chapter one, but if you need a more thorough refresher of these topics, then please check out Eddie Davila's LinkedIn Learning course, Statistics Foundations 2: Probability.",4h 56m,Intermediate,N/A,passive,"Aug 26, 2024",N/A,Yes,Yes,"Demonstrate proficiency in mathematics, including calculus, linear algebra, probability and statistics, and discrete mathematics.",Pre-arrival,,,
,,Complete Guide to Calculus Foundations for Data Science,https://www.linkedin.com/learning/complete-guide-to-calculus-foundations-for-data-science/introduction-to-calculus?u=42257553,LinkedIn Learning,Online Course,"
    Evaluate limits of various functions, including polynomial, rational, trigonometric, logarithmic, and exponential functions, using multiple techniques such as direct substitution, factoring, and the squeeze theorem.
    Demonstrate proficiency in finding the derivatives of common functions and applying differentiation rules—including the product, quotient, chain, and power rules—to efficiently calculate derivatives.
    Analyze the behavior of functions using derivatives, including finding extreme values, applying the Mean Value Theorem, solving optimization and related rates problems, and using techniques such as linear approximations, L'Hôpital's Rule, and Newton's Method.
    Master integration techniques, such as substitution, integration by parts, and partial fraction decomposition, to evaluate both indefinite and definite integrals of various function types.
    Apply integral calculus to solve real-world problems, including calculating areas between curves, volumes of solids, arc lengths, and solving problems related to work, energy, and probability.","First, it is important to have a basic knowledge of arithmetic and algebra to know how to work with equations, functions, and inequalities. Second, it is helpful to have a basic knowledge of geometry, such as basic shapes and properties, along with trigonometry and its various functions. This knowledge of mathematics will help you perform the calculations throughout this course. If you have taken a pre-calculus or calculus course in the past, this course will bring you up to speed.",10h,Intermediate,This course is an ideal fit for data scientists and data professionals seeking to advance their knowledge of the tools used in their profession and develop a deeper understanding of the mathematical science that drives the world of data.,passive,"Apr 21, 2025",N/A,Yes,Yes,"Demonstrate proficiency in mathematics, including calculus, linear algebra, probability and statistics, and discrete mathematics.",Pre-arrival,,,
,Data Science- Bereket,Data Science Foundations: Fundamentals,https://www.linkedin.com/learning/data-science-foundations-fundamentals-24591071,linkedin,Online Couse,"Explain what data science is and how it relates to AI, machine learning, and business intelligence; Identify key data science roles, skills, tools, and techniques; Describe how data science has evolved with the rise of generative AI; Build a foundational understanding for further study in data science
",N/A,5hr 24 min,Beginner,"Students intrested in
 Datascience
,Machine learning",passive,3/4/ 2025,N/A,Yes,Yes,Other (Specify in the 'Comments' column),First semester,"Students will get  skills in Data Science,Data analytics and   AI Fundamentals",,
,,Python for Data Science and Machine Learning,https://www.linkedin.com/learning/python-for-data-science-and-machine-learning-essential-training-part-1,linkedin,Online Course,"Develop practical Python skills for data science and machine learning; Build a real-world data project using web scraping; Clean, transform, and analyze raw data; Create data visualizations and web-based graphs using Streamlit; Apply Python workflows to custom data science projects",N/A,"
7h 44m",Intermediate,"Students intrested in
 Datascience
,Machine learning",Interactive,12/3/20205,N/A,Yes,Yes,Other (Specify in the 'Comments' column),Pre-arrival,"Students will gain skills such as Python (Programming Language),
Machine Learning,
Artificial Intelligence (AI),
Data Science",,
,,Learning Data Visualization,https://www.linkedin.com/learning/learning-data-visualization-15572314,linkedin,Online Course,"Explain core principles of effective data visualization; Analyze audience, goals, and data to choose appropriate visuals; Apply chart selection strategies based on human visual perception; Create clear, impactful visual stories from data",N/A,1h 51m,Intermediate,"Students interested in 
Data analysis, 
data-driven insights 
and  data science",Interactive,21/10/2022,N/A,Yes,Yes,Other (Specify in the 'Comments' column),First semester,"Students will gain skills such as 	Data Visualization, Visual Analytics, Data Storytelling etc.",,
,,Learning Data Analytics: 1 Foundations,https://www.linkedin.com/learning/learning-data-analytics-1-foundations,linkedin,Online Course,"Explain foundational data analytics concepts and analyst thinking; Use common analytics tools such as Excel, Microsoft Access, SQL, and Power BI; Import, clean, and prepare data from various sources including CSV files; Interpret data, ask the right business questions, and apply basic data governance principles; Create and share datasets for analytical use",N/A,3h 29m,Beginner,"Students intrested
 in Data analytics",Interactive,N/A,19/12/ 2023,Yes,Yes,Other (Specify in the 'Comments' column),First semester,"Students will gain skills such as Data Analytics Fundamentals, SQL Basics, Data Cleaning etc.",,
,,Learning Data Analytics Part 2: Extending and Applying Core Knowledge,https://www.linkedin.com/learning/learning-data-analytics-part-2-extending-and-applying-core-knowledge,linkedin,Online Course,"Apply core data analytics skills to create high-quality
 datasets; Use queries, joins, and appends to build analytical 
datasets;Create aggregate data and basic dashboards using
 pivots;  Transform data using Power Query; Deliver data
 insights aligned with business decision-making needs","Learning Data Analytics: 1
 Foundations or equivalent knowledge","
3h 22m",Beginner,"Students intrested
 in Data analytics",Interactive,N/A,19/12/2023,Yes,Yes,Other (Specify in the 'Comments' column),First semester,,,
,,Complete Guide to SQL for Data Engineering: from Beginner to Advanced,https://www.linkedin.com/learning/complete-guide-to-sql-for-data-engineering-from-beginner-to-advanced,linkedin,Online Course,"Write and optimize SQL queries for data engineering 
tasks; Apply advanced SQL features including functions, 
views, stored procedures, and indexes; 
Manage database performance, security, and debugging; 
Use SQL in ETL workflows and complete
 a real-world data engineering project",N/A,7h 11m,Intermediate,Students aspiring and  seeking end-to-end SQL mastery,Interactive,N/A, 24/10/ 2025,Yes,Yes,Other (Specify in the 'Comments' column),First semester,"Skills gained are SQL, Data Engineering, ETL, Database Optimization etc(4.7 rating)",,
,,Fundamentals-of-data-transformation-for-data-engineering,https://www.linkedin.com/learning/fundamentals-of-data-transformation-for-data-engineering/welcome-to-data-transformation?u=42257553,linkedin,Online Course,"Understand core data transformation concepts and 
best practices; Apply data transformations using pandas 
and DuckDB SQL;  Compare transformation approaches
 across data lakes, data warehouses, and lakehouse
 environments; Make informed decisions about appropriate 
data transformation strategies",N/A,"3h 30m
",Intermediate,"Students who want to earn skills in Data engineering, analytics engineering  and working with modern data platforms",passive,N/A,2/12/2025,Yes,Yes,Other (Specify in the 'Comments' column),First semester,"Data Engineering, Data Transformation",,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,AI & ML,Agentic AI for Developers: Concepts and Application for Enterprises,https://www.linkedin.com/learning/agentic-ai-for-developers-concepts-and-application-for-enterprises,linkedin,Online Course,"This course helps learners clearly understand what agentic AI is, how it works, and how it is changing the way business tasks are done. Learners gain practical knowledge of the main components of agentic AI, how to build simple enterprise use cases, and how to follow best practices when developing these systems. The course, taught by Kumaran Ponnambalam, also emphasizes responsible AI, including safety, oversight, and ethical considerations when deploying agentic AI solutions.",N/A,1h 31m,Intermediate,"students 
interested in AI 
and AI Engineering",Interactive,16/9/2024,N/A,Yes,Yes,Other (Specify in the 'Comments' column),First semester,"Demonstrate proficiency
 in agentic AI, including 
understanding 
agent-based concepts, 
applying core system 
components, 
designing enterprise workflows, implementing best practices,
 and addressing responsible AI considerations such as safety, governance, and human oversight.",,
,,Introduction to Prompt Engineering for Generative AI,https://www.linkedin.com/learning/introduction-to-prompt-engineering-for-generative-ai-24636124/joining-the-nlp-revolution,linkedin,Online Course,"Describe prompt engineering and its importance; 
Use generative AI tools for text and image generation;
 Explain basic AI tool components; 
Evaluate capabilities and limitations of language models; Demonstrate responsible AI practices",N/A,1hr,Beginner,Students experimenting with generative AI,Interactive,28/8/2024,N/A,Yes,Yes,Other (Specify in the 'Comments' column),Pre-arrival,"AI Prompting, Artificial Intelligence (AI), Prompt Engineering,Part of Microsoft Professional Certificate; high user rating (4.6/5)",,
,,Build with AI: Create Custom Chatbots with n8n,https://www.linkedin.com/learning/build-with-ai-create-custom-chatbots-with-n8n,linkedin,Online Course,Build an AI-powered chatbot using n8n; Connect the bot to a vector database like Pinecone for advanced search; Design prompts to handle FAQs; Understand the workflow from prototyping to production-ready AI chatbots; Apply practical AI tools and techniques in real-world scenarios,N/A,1hr 30m,Intermediate,"Students interested in  product AI, AI chatbot",Interactive,31/7/ 2025,N/A,Yes,Yes,Other (Specify in the 'Comments' column),First semester,"Hands-on
 scenario-driven
 course; 
high learner
 engagement and rating (4.8/5)",,
,,Natural Language Processing (NLP) Fundamentals by Pearson,https://www.linkedin.com/learning/natural-language-processing-nlp-fundamentals-by-pearson,linkedin,Online Course,"Understand NLP fundamentals including text representation, cleaning, topic detection, regular expressions, and sentiment analysis; Apply PyTorch for text classification and sequence-to-sequence models; Explain transformer architectures underlying LLMs like ChatGPT, Claude, and BERT; Leverage NLP tools and algorithms for practical applications",N/A,6h 10m,Intermediate,Students intrested in Natural Language Processing,passive,18/2/ 2026,N/A,Yes,Yes,Other (Specify in the 'Comments' column),First semester,This course Covers both foundational and advanced NLP concepts; hands-on with NLTK and PyTorch; suitable for building practical NLP skills(4.7/5),,
,,Introduction to Transformer Models for NLP,https://www.linkedin.com/learning/introduction-to-transformer-models-for-nlp,linkedin,Online Course,"Explain the core concepts of transformer architectures; Understand attention, embedding, and tokenization mechanisms; Develop practical NLP pipelines using transformer models; Apply Python examples in Jupyter notebooks to implement transformer-based NLP models",N/A,11h 18m,Intermediate,Students looking to deepen their understanding of transformer models,passive, 22/10/ 2024,N/A,Yes,Yes,Other (Specify in the 'Comments' column),First semester,"Covers Transformer Models, Large Language Models, Attention Mechanisms, Embeddings, Tokenization, NLP Pipelines",,
,,pytorch-essential-training-deep-learning,https://www.linkedin.com/learning/pytorch-essential-training-deep-learning-23753149/deep-learning-with-pytorch?u=42257553,linkedin,Online Course,"Explain core PyTorch concepts and APIs; Load and preprocess data using PyTorch utilities; Build and train deep learning models; Apply PyTorch for experimentation, prototyping, and research workflows",N/A,"1h 21m
",Intermediate,"Students interested in deep learning,AI",passive,15/4/2024,N/A,Yes,Yes,Other (Specify in the 'Comments' column),First semester,"Covers PyTorch, Deep Learning, Neural Networks",,
,,,,,,,,,,,,,,,,,,,,
,Networking,Cisco Certified Network Associate (CCNA) v1.1 (200-301) Cert Prep,https://www.linkedin.com/learning/cisco-certified-network-associate-ccna-v1-1-200-301-cert-prep/diving-into-the-course?u=42257553,LinkedIn Learning,Online Course,"By the end of this course, the learner will be able to:
Understand network fundamentals, network access, IP connectivity, IP services, security fundamentals, and automation and programmability. 
Learn about the critical components and architectures of modern networks, including routers, switches, security appliances, and more. 
Explore how TCP and UDP protocols affect data transmission. D
iscover how to manage IPv4 and IPv6 addresses, delve into subnetting, and explore Ethernet switching fundamentals. 
Acquire hands-on experience with routing fundamentals and gain insights into first hop redundancy protocols (FHRPs).
 Boost their knowledge of wireless networks, network services, and network security. 
",N/A,18h,Intermediate,N/A,Interactive,10/24/0202,N/A,Yes,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Ongoing study,Covers a wide range of topics to help you prepare for the CCNA exam.,,
,,Networking Foundations: Networking Basics,https://www.linkedin.com/learning/networking-foundations-networking-basics/welcome-to-the-network-24998881?u=42257553,LinkedIn Learning,Online Course,"The objective of the course is to provide an overview of foundational networking topics that any networking professional should know. It covers the purpose of networks, how networking technologies benefit us in personal and business contexts, and introduces emerging technologies. The course also delves into network addresses, switches, routers, fiber-optic cabling, the OSI model, common network services, wireless networks, and more",N/A,1h 49m,Beginner,Networking professionals,passive,12/20/2024,N/A,Yes,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Pre-arrival,"To help learners understand the wide spectrum of technologies falling under the umbrella of networking. This course provides an overview of the foundational topics any networking professional should know, as well as an introduction to emerging technologies.",,
,,"Telecom Network Evolution 2G-to- 6G: Technologies, Architectures, and Key Concepts ",https://www.linkedin.com/learning/telecom-network-evolution-2g-to-6g-technologies-architecture-and-key-concepts/introduction-to-telecom-network-evolution?u=42257553,LinkedIn Learning,Online Course,"By the end of this course, the learner will be able to:
Compare the evolution of telecom networks from 2G to 6G, including key architectural differences, capabilities, and standards defined by 3GPP and ITU.
Explain the key components and functions of 4G (LTE) and 5G network architectures, including RAN, core network (AMF, SMF, and UPF), and transport network.
Analyze spectrum allocation, frame structures, and physical layer technologies—including OFDMA, MIMO, and carrier aggregation—used in 4G and 5G networks.
Interpret call flows and signaling procedures in 4G and 5G networks, including registration, mobility management, and end-to-end session establishment.
Evaluate emerging technologies such as virtualization, cloud computing, and network slicing in the context of 5G and future 6G networks.",N/A,5h 18m,Beginner,N/A,passive,10/9/2025,N/A,Yes,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Ongoing study,"As technology evolves, 6G is expected to seamlessly blend the physical, digital, and human worlds by 2030, making comprehension of this evolution essential for career readiness and technological fluency.",,
,,Cloud Computing: Understanding Networking,https://www.linkedin.com/learning/cloud-computing-understanding-networking/welcome?u=42257553,LinkedIn Learning,Online Course,"Here are the key objectives you can expect to achieve:

Understand the basics of cloud networking: Learn about public, private, hybrid, and multicloud architectures.
Explore cloud-based network services: Gain knowledge on DNS, DHCP, VPN, and VPC.
Learn about network security: Understand the challenges and how to implement security measures in the cloud.
Interconnect cloud environments: Discover how to establish connectivity between different cloud environments.
Monitor and troubleshoot networks: Get familiar with tools and techniques for network monitoring and troubleshooting. 
",N/A,49m,Beginner,N/A,passive,3/1/2024,N/A,Yes,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Ongoing study,Good introductory course for complex cloud concepts,,
,,CompTIA Network+ (N10-009) ,https://www.linkedin.com/learning/comptia-network-plus-n10-009-cert-prep/network-plus-promo?u=42257553,LinkedIn Learning,Online Course,"The CompTIA Network+ (N10-009) Cert Prep course aims to equip you with foundational networking skills necessary to pass the CompTIA Network+ (N10-009) certification exam. The course covers a wide range of topics, including network models, cabling and topology, Ethernet basics and standards, TCP/IP basics, routing, network security, wireless networking, and more. By the end of the course, you should be well-prepared to tackle the certification exam and apply these networking skills in your professional role.",N/A,18h,Intermediate,Foundational IT/Networking careers,Interactive,4/25/2025,N/A,Yes,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",First semester,"A strong networking foundation (OSI, TCP/IP, routing, switching, wireless) and hand on experience",,
,Cybersecurity,Vulnerability Assessment: Cybersecurity Labs Powered by Hack the Box,https://www.linkedin.com/learning/vulnerability-assessment-cybersecurity-labs-powered-by-hack-the-box/apply-your-skills-with-hack-the-box?u=42257553,LinkedIn Learning,Online Course,"Learn the essential skills and methodologies for conducting effective vulnerability assessments. 
Using Cybersecurity Labs powered by Hack The Box, explore the differences between vulnerability assessments and penetration tests, gain hands-on experience with industry-standard tools like Nessus and OpenVAS.
Learn how to interpret scan results, and discover best practices for delivering clear, actionable reports. 
Differentiate between vulnerability assessments and penetration testing.
Understand and apply vulnerability scoring systems (e.g., CVSS).
Install, configure, and operate Nessus and OpenVAS vulnerability scanners.
Interpret scan results and generate effective vulnerability assessment reports.","Information security fundamentals
Penetration testing process fundamentals
Linux fundamentals",4h 19m,Intermediate,"Security analysts, IT auditors, network engineers, and anyone responsible for identifying, assessing, and reporting on system vulnerabilities",Interactive,10/30/2025,N/A,Yes,Yes,Other (Specify in the 'Comments' column),Transition to industry,This course will provide you with essential skills and methodologies for conducting effective vulnerability assessments and penetration testing in cybersecurity,,
,,Introduction to Cryptography and Applied Cryptanalysis,https://www.linkedin.com/learning/introduction-to-applied-cryptography-and-cryptanalysis-by-infosec/introduction-to-the-course?u=42257553,LinkedIn Learning,Online Course,"The key objectives of the course are to:
Explore foundational topics such as symmetric and asymmetric cryptography, block and stream ciphers, and advanced encryption standards.
Learn how to manage secure credentials effectively and understand the importance of hash functions.
Explore SSL/TLS protocols and evaluate various VPN technologies.
Gain hands-on skills necessary for solving real-world cybersecurity challenges, including deciphering malware communication and decoding encrypted files.
By the end of this course, you'll be prepared to tackle encryption inefficiencies, secure data transmissions, and apply cryptographic solutions with confidence.
",N/A,5h 41m,Beginner,Cybersecurity professionals,passive,9/5/2025,N/A,Yes,Yes,Other (Specify in the 'Comments' column),Ongoing study,"Offers good basics for Infrormation Security Beginners. Skill Areas: Cryptography, Cryptanalysis, & Malware Detection",,
,,ISC2 Certified Information Systems Security Professional (CISSP) (2024) Cert Prep,https://www.linkedin.com/learning/isc2-certified-information-systems-security-professional-cissp-2024-cert-prep/earning-your-cissp?u=42257553,LinkedIn Learning,Online Course,"The ISC2 Certified Information Systems Security Professional (CISSP) (2024) Cert Prep course aims to prepare you for the CISSP certification exam. Key areas covered in the course:

Security and Risk Management: Learn about security and risk management, including asset security.
Security Architecture and Engineering: Explore security architecture and engineering principles.
Communication and Network Security: Understand communication and network security, as well as identity and access management (IAM).
Security Assessment and Testing: Go over security assessment, testing, and operations.
Software Development Security: Gain insights into software development security.
",N/A,21h,Intermediate,Cybersecurity professionals,Interactive,4/25/2024,N/A,Yes,Yes,Other (Specify in the 'Comments' column),Transition to industry,The CISSP is one of the most in-demand certifications for security professionals. This course gives your preparation for the exam off to a great start. Skills covered: Information and Network Security,,
,,Certified Ethical Hacker,https://www.linkedin.com/learning/certified-ethical-hacker-ceh/certified-ethical-hacker-ceh-introduction?u=42257553,LinkedIn Learning,Online Course,"The course covers various topics, including ethical hacking fundamentals, reconnaissance techniques, network and perimeter hacking, system hacking phases and attack techniques, web application hacking, wireless, mobile, IoT and OT hacking, cloud computing, and cryptography. By the end of the course, you should be well-prepared to pass the CEH exam and take on the challenges of a cybersecurity professional.",N/A,19h,Intermediate,N/A,Interactive,2/3/2025,N/A,Yes,Yes,Other (Specify in the 'Comments' column),Ongoing study,"Skill Area: Ethical Hacking, Cybersecurity",,
,,Cybersecurity Foundations,https://www.linkedin.com/learning/cybersecurity-foundations-22006082/understanding-the-cybersecurity-frameworks-and-standards?u=42257553,LinkedIn Learning,Online Course,"The course will enable learners to:
Differentiate between the phases of the Cyber Kill Chain.
Describe the several types of cyberattacks.
Explain what the NIST Cybersecurity Framework is.
Interpret basic practices of cyber risk.
Determine which elements are used in developing a secure architecture.
Articulate the best approach to respond to an incident.
Describe the seven principles for global cybersecurity users.
",N/A,3h 31m,Beginner,N/A,passive,4/8/0202,N/A,Yes,No,Other (Specify in the 'Comments' column),Pre-arrival,Skill Area: Cybersecurity,,
